transaction_id,account_age_days,credit_score_band,kyc_level,avg_monthly_spend,transaction_amount,is_international,ip_risk_score,txn_count_1h,txn_count_24h,failed_txn_count_24h,geo_distance_from_last_txn,amount_deviation_from_user_mean,is_weekend,payment_channel_card,payment_channel_upi,payment_channel_wallet,device_type_mobile,device_type_tablet
135972,293,4,2,1622.776983,611.50967,0,0.539293,1,3,1,11.884335,557.417104,0,0.0,0.0,1.0,1.0,0.0
41830,432,3,1,14002.86678,3622.227986,0,0.630248,1,0,0,9.397688,3155.46576,1,1.0,0.0,0.0,0.0,0.0
134023,1673,3,1,4467.673232,982.070789,0,0.638673,0,1,1,41.323843,833.148348,0,0.0,1.0,0.0,0.0,0.0
331656,992,3,3,25384.555472,4129.217455,0,0.077634,1,2,1,40.103345,3283.065605,1,1.0,0.0,0.0,1.0,0.0
268977,1225,5,3,2021.589873,5807.941799,0,0.340204,1,2,2,52.404986,5740.55547,0,0.0,1.0,0.0,0.0,0.0
206924,396,4,2,2217.722563,3300.157273,0,0.093264,1,4,0,42.717198,3226.233188,0,0.0,0.0,1.0,0.0,0.0
309947,869,3,3,7055.467921,523.450275,0,0.20902,0,2,0,13.528324,288.268011,0,1.0,0.0,0.0,0.0,0.0
64608,852,2,1,9337.14272,4546.532242,0,0.197095,2,4,2,69.053755,4235.294151,0,1.0,0.0,0.0,1.0,0.0
225166,1516,2,1,912.446673,1126.101583,0,0.201761,1,3,0,3.178683,1095.686694,0,1.0,0.0,0.0,1.0,0.0
331704,140,2,3,1369.690172,1373.517148,0,0.307773,0,2,1,46.854494,1327.860809,1,0.0,0.0,1.0,1.0,0.0
164710,1360,5,1,2486.170882,1913.354271,1,0.468181,0,3,1,4.302345,1830.481908,0,0.0,1.0,0.0,1.0,0.0
301442,387,5,2,1548.889582,2484.754983,0,0.081118,2,2,0,13.221608,2433.12533,0,1.0,0.0,0.0,1.0,0.0
182311,993,3,2,3420.559217,395.527129,0,0.323915,2,2,0,34.198576,281.508489,0,1.0,0.0,0.0,1.0,0.0
230253,1920,3,2,4171.703321,2254.725218,0,0.205707,0,1,0,1.201481,2115.668441,0,0.0,0.0,0.0,1.0,0.0
291313,592,3,1,4070.851492,2179.162024,0,0.462171,2,5,0,114.791713,2043.466974,0,0.0,1.0,0.0,0.0,0.0
288924,1347,1,3,2012.35272,5167.068983,0,0.206813,1,3,0,14.64964,5099.990559,0,0.0,0.0,1.0,1.0,0.0
230866,1627,3,3,3760.80774,761.118222,0,0.261515,0,1,0,25.670781,635.757964,0,1.0,0.0,0.0,1.0,0.0
230560,570,5,3,4942.740748,4569.656672,0,0.256224,1,6,1,57.67629,4404.898647,0,0.0,0.0,0.0,1.0,0.0
322649,340,2,2,4626.328366,2051.297815,0,0.202444,2,2,1,11.497978,1897.086869,0,0.0,1.0,0.0,1.0,0.0
132843,1981,1,2,5161.419302,3963.160837,0,0.133417,2,5,0,31.17872,3791.113527,0,1.0,0.0,0.0,1.0,0.0
298044,1905,1,1,2464.460808,1458.722745,0,0.235187,0,8,0,7.450444,1376.574051,0,0.0,0.0,0.0,0.0,0.0
268726,476,3,1,8035.340699,1043.353578,0,0.328108,0,3,0,37.893608,775.508888,1,0.0,0.0,1.0,1.0,0.0
374292,851,3,3,7578.763907,2077.313303,0,0.102546,0,2,1,8.465524,1824.68784,1,1.0,0.0,0.0,1.0,0.0
345922,973,3,2,1677.300631,5436.431047,0,0.590269,0,1,0,59.432108,5380.521026,1,1.0,0.0,0.0,0.0,0.0
310528,1410,1,2,6215.242002,5890.440253,0,0.292294,0,3,1,12.120583,5683.265519,1,1.0,0.0,0.0,0.0,0.0
361684,496,2,3,1150.717761,3254.904556,0,0.28076,2,0,0,78.452308,3216.547297,0,0.0,0.0,1.0,0.0,0.0
313272,1088,4,1,9477.533293,2863.88654,0,0.291461,1,4,1,101.171193,2547.968764,0,0.0,0.0,0.0,1.0,0.0
24621,998,4,1,5617.069351,1085.789984,0,0.280843,1,4,0,0.354388,898.554339,0,1.0,0.0,0.0,1.0,0.0
260179,1332,1,1,4471.975283,2442.385065,0,0.096574,0,4,0,69.287061,2293.319222,0,0.0,0.0,1.0,1.0,0.0
392717,104,5,3,2888.15696,702.824725,0,0.310601,0,1,0,58.590581,606.552826,0,1.0,0.0,0.0,0.0,1.0
132584,133,4,1,2931.721202,2025.778405,0,0.363407,0,6,0,14.831676,1928.054365,0,0.0,1.0,0.0,1.0,0.0
275024,1038,1,1,13497.991514,2001.040203,0,0.277492,1,4,0,15.307227,1551.107152,1,0.0,1.0,0.0,1.0,0.0
291350,99,2,1,16845.295018,663.191613,0,0.219346,1,2,1,30.884401,101.681779,0,0.0,1.0,0.0,1.0,0.0
288304,1503,1,3,9366.377498,1525.510928,0,0.427626,1,3,0,15.545224,1213.298345,0,0.0,1.0,0.0,1.0,0.0
15281,817,1,1,3152.799769,501.837233,0,0.360571,0,3,1,0.852375,396.743907,0,1.0,0.0,0.0,1.0,0.0
242270,628,1,1,1571.782242,6136.977198,0,0.631299,0,2,0,67.120917,6084.584456,1,0.0,0.0,0.0,1.0,0.0
